timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
3 5 9 0.39153493462993527 0.00846506537006475
3 9 14 0.3903552490138614 0.009644750986138595
3 15 20 0.39255070017849797 0.007449299821502053
3 19 23 0.3982245603282686 0.001775439671731438
3 20 29 0.39510552844141344 0.004894471558586577
3 21 22 0.39562295339840403 0.004377046601595991
3 23 28 0.3931305782414724 0.006869421758527616
3 34 39 0.39732472336750735 0.0026752766324926736
3 44 49 0.3985820953074854 0.0014179046925146266
3 52 57 0.39459391003964917 0.005406089960350857
3 60 69 0.3968557463022488 0.0031442536977512314
3 61 66 0.3977640932851264 0.0022359067148736145
3 62 67 0.39521365277256904 0.004786347227430987
3 74 79 0.3981028554555757 0.0018971445444243007
3 80 85 0.39778663334210174 0.002213366657898286
3 84 89 0.39222201882296415 0.007777981177035875
3 93 98 0.3907460699434917 0.00925393005650832
3 95 100 0.3971888369765358 0.002811163023464236
3 136 142 0.3958503478713857 0.004149652128614345
3 141 146 0.3952756676458885 0.004724332354111516
3 151 156 0.39449086475407064 0.005509135245929386
4 20 29 0.39271934210361464 0.0072806578963853785
4 21 22 0.39562295339840403 0.004377046601595991
4 48 53 0.3909784012706968 0.009021598729303248
4 61 66 0.3977640932851264 0.0022359067148736145
4 74 79 0.3939571756743395 0.006042824325660501
4 137 142 0.38911528634242265 0.010884713657577372
5 67 73 0.39660243689955027 0.003397563100449752
5 77 78 0.3981378026694662 0.0018621973305338324
5 178 185 0.39074290668750383 0.00925709331249619
7 25 53 0.39553689862994323 0.004463101370056788
7 30 53 0.3938706903635055 0.0061293096364944955
8 45 58 0.3910090924953264 0.008990907504673629
9 45 58 0.3910090924953264 0.008990907504673629
9 54 62 0.3924738705508801 0.0075261294491199004
57 74 143 0.3943277208073521 0.0056722791926479
67 54 128 0.39543602812234147 0.004563971877658557
67 82 196 0.3978425133353089 0.0021574866646911217
