timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
3 7 8 0.3929846997049129 0.0070153002950871235
3 16 27 0.3972848950515826 0.002715104948417424
3 19 25 0.39336931007508497 0.006630689924915056
3 23 27 0.3923695994147431 0.007630400585256936
3 28 32 0.393906589951636 0.006093410048364001
3 28 38 0.39774604663534174 0.0022539533646582788
3 33 38 0.3930753929131908 0.006924607086809198
3 38 40 0.3905935085826318 0.009406491417368212
3 39 44 0.3917240607276487 0.008275939272351318
3 40 44 0.39857810227864804 0.0014218977213519834
3 45 51 0.39419458459959483 0.0058054154004051894
3 53 54 0.39977402311148025 2.2597688851977438E-4
3 53 59 0.3957008685230569 0.004299131476943108
3 54 60 0.39109189146070716 0.008908108539292858
3 57 62 0.39677052223923626 0.003229477760763766
3 58 59 0.3959110119949257 0.0040889880050743455
3 60 66 0.38812722590354376 0.011872774096456262
3 65 70 0.3977372658919933 0.002262734108006703
3 66 83 0.39912285875960496 8.771412403950629E-4
3 72 78 0.3944825720607777 0.00551742793922233
3 76 82 0.39155330961423335 0.008446690385766675
3 78 84 0.3880720257040468 0.011927974295953214
3 80 86 0.39233865742830054 0.007661342571699481
3 82 83 0.39381837513439455 0.006181624865605473
3 82 88 0.39531169426311347 0.0046883057368865555
3 94 100 0.39995869959724983 4.1300402750188425E-5
3 95 101 0.3990685999435629 9.314000564371039E-4
3 102 119 0.38900822952102293 0.010991770478977092
3 105 110 0.3950494962300682 0.0049505037699318355
3 109 110 0.3992155662288558 7.844337711442328E-4
3 111 117 0.3968338889926505 0.003166111007349537
3 112 113 0.3978790509821229 0.0021209490178771273
3 117 118 0.3970622658341839 0.0029377341658161082
3 132 137 0.3985552466661775 0.001444753333822546
3 142 149 0.39784925731676585 0.0021507426832341747
3 143 150 0.3964177270666631 0.0035822729333369052
3 146 148 0.38999109106059243 0.01000890893940759
3 155 156 0.3898669177288175 0.010133082271182536
3 156 162 0.3892662826795125 0.010733717320487501
3 159 165 0.39156043463824575 0.008439565361754275
3 170 171 0.3989695546476155 0.0010304453523845014
3 175 181 0.39400613980503896 0.005993860194961065
3 178 179 0.3928363129867182 0.00716368701328185
3 181 187 0.39625163870521224 0.003748361294787783
3 184 189 0.3866473964881227 0.013352603511877337
3 192 197 0.3935739994523834 0.006426000547616606
3 228 233 0.3957246169437106 0.004275383056289439
3 232 237 0.394239756544177 0.005760243455823044
3 236 241 0.3893503616308706 0.01064963836912941
3 239 244 0.39881806327911357 0.0011819367208864562
3 241 246 0.3984379336209191 0.0015620663790809064
3 251 256 0.3907152018527146 0.009284798147285445
3 251 262 0.3984446494108876 0.0015553505891124364
3 256 261 0.3964938150332507 0.003506184966749315
3 261 272 0.3962426905859489 0.003757309414051113
3 268 273 0.396040459337947 0.003959540662053007
3 271 277 0.39614652561909075 0.003853474380909272
3 286 291 0.39970627928305497 2.937207169450562E-4
3 288 293 0.39747267674192305 0.0025273232580769744
3 289 294 0.39973923829612007 2.6076170387995257E-4
3 292 297 0.39415748719855415 0.005842512801445876
3 298 303 0.3998351800871356 1.6481991286443343E-4
3 302 307 0.3973665342265036 0.002633465773496435
3 305 310 0.39995351671610935 4.64832838906748E-5
3 306 311 0.39926210474882895 7.378952511710724E-4
3 314 318 0.3932492152234824 0.006750784776517638
3 321 326 0.3871232425670473 0.012876757432952746
3 322 327 0.3959865060846545 0.004013493915345501
3 326 331 0.38939903507100754 0.010600964928992485
3 338 343 0.395529434008486 0.0044705659915140195
3 341 346 0.3931850793692489 0.00681492063075112
3 344 348 0.39776822716560684 0.0022317728343931864
3 346 351 0.39253642229239133 0.007463577707608693
3 361 362 0.39858478659490393 0.001415213405096094
3 362 367 0.39936110224396587 6.388977560341513E-4
4 3 16 0.38667173037258756 0.013328269627412459
4 4 5 0.3890264887342816 0.010973511265718439
4 5 11 0.3965377964222655 0.003462203577734524
4 7 8 0.3929846997049129 0.0070153002950871235
4 9 16 0.3883500342846984 0.011649965715301636
4 19 25 0.39336931007508497 0.006630689924915056
4 27 38 0.3924560797854594 0.007543920214540645
4 28 35 0.391446482531399 0.008553517468601002
4 42 48 0.3960841847942401 0.003915815205759898
4 42 53 0.39667223150343667 0.0033277684965633547
4 46 48 0.3976389092627887 0.002361090737211302
4 61 67 0.39504848910572443 0.00495151089427559
4 72 78 0.399629160844894 3.708391551059953E-4
4 80 86 0.39233865742830054 0.007661342571699481
4 89 94 0.3915856795116019 0.00841432048839813
4 102 125 0.39298910958411937 0.007010890415880655
4 109 115 0.3968852736541645 0.003114726345835539
4 110 117 0.3920898947308025 0.007910105269197498
4 118 124 0.39974121800217055 2.587819978294714E-4
4 122 123 0.3992527702933754 7.472297066246081E-4
4 128 134 0.39275810875155087 0.0072418912484491504
4 159 160 0.3890733311396188 0.010926668860381239
4 159 165 0.3942482487230783 0.005751751276921735
4 160 168 0.39609081871497137 0.003909181285028651
4 176 181 0.395465463838078 0.004534536161922009
4 201 206 0.38857807925443727 0.011421920745562752
4 239 244 0.39881806327911357 0.0011819367208864562
4 248 253 0.39898616570388745 0.0010138342961125701
4 268 273 0.396040459337947 0.003959540662053007
4 298 303 0.3982539095254648 0.0017460904745352224
4 313 314 0.3998073523055292 1.9264769447080443E-4
4 346 356 0.3908538742225676 0.009146125777432401
4 351 356 0.3935614407519733 0.006438559248026721
4 363 364 0.39523060156178264 0.004769398438217387
5 8 13 0.39347074486743455 0.00652925513256547
5 15 32 0.39413583790763956 0.005864162092360459
5 19 25 0.39336931007508497 0.006630689924915056
5 27 38 0.3924560797854594 0.007543920214540645
5 28 35 0.391446482531399 0.008553517468601002
5 50 51 0.3988653886157676 0.0011346113842324312
5 61 67 0.39504848910572443 0.00495151089427559
5 70 71 0.39537694957685 0.0046230504231500325
5 85 86 0.3913649754941617 0.008635024505838307
5 100 106 0.39826747385198547 0.001732526148014557
5 104 105 0.39937687833195423 6.231216680457896E-4
5 109 115 0.3968852736541645 0.003114726345835539
5 123 130 0.39311673410155457 0.0068832658984454564
5 128 134 0.39275810875155087 0.0072418912484491504
5 159 160 0.3890733311396188 0.010926668860381239
5 160 168 0.39609081871497137 0.003909181285028651
5 161 166 0.3955048615603214 0.0044951384396786365
5 205 210 0.39991060247103727 8.939752896275355E-5
5 259 264 0.3987215525709083 0.0012784474290917225
5 267 273 0.390123738819251 0.009876261180749024
5 286 287 0.3899071899009872 0.010092810099012806
5 334 339 0.39206703483735894 0.007932965162641081
6 3 14 0.3977846280139615 0.0022153719860384946
6 50 51 0.3988653886157676 0.0011346113842324312
6 61 67 0.39504848910572443 0.00495151089427559
6 108 112 0.39194679994383297 0.008053200056167054
6 129 141 0.39252627672762597 0.007473723272374055
6 135 137 0.39965388846024286 3.461115397571657E-4
6 205 210 0.39991060247103727 8.939752896275355E-5
6 259 264 0.3987215525709083 0.0012784474290917225
6 281 286 0.3876521588414375 0.012347841158562523
7 57 68 0.39176676603644317 0.008233233963556852
7 60 82 0.3990802488091155 9.197511908844991E-4
7 61 67 0.39504848910572443 0.00495151089427559
8 15 20 0.3912289156195077 0.008771084380492344
8 28 40 0.39379300793218946 0.006206992067810557
8 57 68 0.39176676603644317 0.008233233963556852
8 96 101 0.3894028602531345 0.010597139746865547
9 28 40 0.39379300793218946 0.006206992067810557
9 68 75 0.3977243255608664 0.0022756744391336237
11 153 166 0.3928290537085661 0.007170946291433944
14 201 203 0.3988393019924591 0.0011606980075409279
38 135 281 0.39870569812652623 0.001294301873473791
39 94 282 0.39492975239932526 0.00507024760067476
39 114 267 0.3919691277867108 0.008030872213289242
43 187 357 0.3955236117983615 0.004476388201638537
44 187 357 0.3955236117983615 0.004476388201638537
46 89 302 0.39561571815554947 0.004384281844450555
46 135 276 0.3974880137300657 0.0025119862699343187
49 143 267 0.3980742039556675 0.0019257960443325173
50 84 224 0.39403508412280847 0.005964915877191557
52 72 233 0.39652200766856033 0.0034779923314396943
52 106 281 0.3935390356865087 0.006460964313491302
55 83 254 0.39311919569169335 0.006880804308306676
56 119 262 0.3993991656842153 6.008343157847262E-4
57 137 347 0.39305426872967586 0.0069457312703241625
58 228 232 0.39977470443658436 2.252955634156617E-4
59 166 313 0.39889385905575747 0.0011061409442425507
59 233 281 0.3992439950695299 7.560049304701222E-4
62 66 245 0.3891672440726885 0.010832755927311533
62 160 337 0.39133506456172606 0.008664935438273957
63 142 298 0.3982816098550053 0.001718390144994697
63 142 318 0.3965480810661221 0.0034519189338779177
64 22 220 0.39998234290943413 1.7657090565892375E-5
64 142 298 0.3982816098550053 0.001718390144994697
64 184 340 0.392032217224765 0.007967782775235022
65 184 340 0.392032217224765 0.007967782775235022
66 142 319 0.39558558222250273 0.004414417777497293
67 22 214 0.39469847312318473 0.005301526876815288
69 72 257 0.3899108197060908 0.010089180293909206
69 140 294 0.3984098089645912 0.0015901910354088056
71 55 246 0.3911503264490752 0.008849673550924808
72 122 139 0.39117607697380946 0.008823923026190561
73 2 20 0.39332321472927345 0.006676785270726571
73 47 274 0.39602618812585055 0.003973811874149469
73 62 280 0.3974341549971023 0.0025658450028977486
73 106 279 0.39282995172398083 0.007170048276019192
74 62 280 0.3974341549971023 0.0025658450028977486
76 43 280 0.394374172080622 0.005625827919378046
76 68 72 0.3980892604626771 0.001910739537322903
76 149 332 0.3980907202543292 0.0019092797456708444
80 100 240 0.3910096890169085 0.008990310983091498
81 168 290 0.39356116911444805 0.006438830885551972
101 70 229 0.39222347587092976 0.007776524129070261
106 1 225 0.3992264105994047 7.735894005952981E-4
198 295 367 0.3928918688050191 0.007108131194980938
199 295 367 0.3928918688050191 0.007108131194980938
