timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
2 25 26 0.3939991500160457 0.006000849983954337
2 28 29 0.39473675615557413 0.005263243844425891
2 34 35 0.3997604613458319 2.3953865416814768E-4
2 35 36 0.39909826954097716 9.017304590228647E-4
3 25 26 0.3853427191812449 0.014657280818755114
3 28 29 0.39455939558747055 0.005440604412529471
4 24 25 0.39676095103969033 0.0032390489603096873
4 25 26 0.39701760380730766 0.0029823961926923603
5 24 25 0.3879701224195453 0.012029877580454706
16 38 40 0.3748116953067656 0.02518830469323441
26 28 36 0.36873998092455745 0.03126001907544257
27 28 36 0.3534088517851904 0.04659114821480964
30 27 35 0.3536624751135464 0.046337524886453596
32 25 34 0.38215438758523484 0.017845612414765177
36 32 34 0.38853500740494384 0.011464992595056178
