timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
2 25 26 0.3939991514136958 0.0060008485863042305
2 28 29 0.39473675695988064 0.005263243040119381
2 34 35 0.3997604615264985 2.3953847350149937E-4
2 35 36 0.399098269517555 9.017304824450179E-4
3 25 26 0.3853427198985006 0.014657280101499415
3 28 29 0.3945593949003538 0.005440605099646223
4 24 25 0.39676095228375113 0.0032390477162488884
4 25 26 0.39701760409195525 0.002982395908044777
5 24 25 0.38797012891882 0.012029871081180032
26 28 36 0.37292751316835404 0.02707248683164598
27 28 36 0.3310252242444327 0.06897477575556732
30 27 35 0.3554365749996163 0.04456342500038374
32 25 34 0.3949837623567715 0.005016237643228505
33 25 34 0.3899768525565785 0.010023147443421532
34 25 34 0.3898595291646857 0.01014047083531433
36 32 34 0.3826194777446692 0.01738052225533082
40 29 42 0.3971072794338666 0.002892720566133433
41 33 42 0.3732225903010727 0.026777409698927335
42 23 24 0.39746103268006006 0.0025389673199399665
42 33 42 0.2849266946117881 0.11507330538821192
43 23 24 0.3841711223494042 0.01582887765059582
