timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
8 7 8 0.3390720519856981 0.0609279480143019
9 5 6 0.26448305022927154 0.13551694977072848
9 7 8 0.35812337783804493 0.04187662216195509
10 5 6 0.2788289577620667 0.12117104223793335
10 5 11 0.23491362647186467 0.16508637352813535
10 6 8 0.30751719454287274 0.09248280545712728
10 6 11 0.399788892307664 2.1110769233601E-4
11 5 6 0.3269939479343949 0.07300605206560512
11 5 11 0.09040553353523488 0.30959446646476513
11 6 8 0.2354948274758721 0.1645051725241279
12 5 6 0.31309005437299425 0.08690994562700577
12 5 11 0.1989063718774244 0.2010936281225756
12 6 8 0.21394646782937932 0.1860535321706207
12 10 13 0.24099215054379627 0.15900784945620375
13 5 6 0.29344481580245935 0.10655518419754068
13 5 8 0.3319712783506414 0.06802872164935864
13 5 9 0.30588844233206947 0.09411155766793056
13 5 11 0.28648324913501577 0.11351675086498425
13 6 8 0.22245502276040383 0.1775449772395962
13 9 10 0.341223269652254 0.058776730347746
13 9 11 0.26527339307639763 0.1347266069236024
13 9 13 0.39553375572755006 0.00446624427244996
13 10 11 0.21420569313724858 0.18579430686275145
13 10 13 0.08200894296504437 0.31799105703495567
13 11 13 0.296159178367675 0.103840821632325
14 5 6 0.27100137005998515 0.12899862994001488
14 5 8 0.2332170608575628 0.16678293914243722
14 5 9 0.29828410129786165 0.10171589870213837
14 5 11 0.3521093353579389 0.0478906646420611
14 6 8 0.24353885002174383 0.1564611499782562
14 9 10 0.2938101980652058 0.10618980193479421
14 9 11 0.29579567710348187 0.10420432289651815
14 9 14 0.33627933638337815 0.06372066361662188
14 10 11 0.17362687304417174 0.22637312695582829
14 10 12 0.33558900052841517 0.06441099947158485
14 10 13 0.13667585180326164 0.2633241481967384
14 10 14 0.34758118213716893 0.05241881786283109
14 11 13 0.19355718100006125 0.20644281899993877
14 12 13 0.2919801392030195 0.1080198607969805
15 5 6 0.2638742405579681 0.13612575944203192
15 5 8 0.1570612729355385 0.2429387270644615
15 5 9 0.3300123514008365 0.06998764859916351
15 5 11 0.3714885882675863 0.028511411732413727
15 6 8 0.2543094485139372 0.1456905514860628
15 9 10 0.34314029521674516 0.05685970478325486
15 9 11 0.3613729534423355 0.038627046557664524
15 9 14 0.2787314621837695 0.12126853781623054
15 10 11 0.26575489954667675 0.13424510045332327
15 10 12 0.2988092679898079 0.10119073201019213
15 10 13 0.23179630280089844 0.16820369719910158
15 10 14 0.21748102943485068 0.18251897056514935
15 11 12 0.3647297386767783 0.0352702613232217
15 11 13 0.17871037390759276 0.22128962609240727
15 12 13 0.18746445278584492 0.2125355472141551
16 5 6 0.2714052048236632 0.12859479517633682
16 5 8 0.13094144866368712 0.2690585513363129
16 5 9 0.33791610309843656 0.06208389690156346
16 5 11 0.3288290929761461 0.07117090702385392
16 6 8 0.2583837020449442 0.14161629795505581
16 9 14 0.3483811471696739 0.051618852830326134
16 10 11 0.30207155554738585 0.09792844445261417
16 10 12 0.2884488122290738 0.11155118777092621
16 10 13 0.22723477251502922 0.1727652274849708
16 10 14 0.22168848200089203 0.178311517999108
16 10 16 0.3418960493182621 0.058103950681737904
16 11 12 0.3997286192534496 2.713807465504203E-4
16 11 13 0.1712395201401078 0.22876047985989223
16 12 13 0.22871767473723476 0.17128232526276527
16 12 15 0.21288240711299247 0.18711759288700755
16 14 16 0.30139271604916246 0.09860728395083757
17 5 6 0.2744254750529589 0.12557452494704113
17 5 8 0.12451280207572302 0.275487197924277
17 5 9 0.36027862729896826 0.039721372701031765
17 5 11 0.22750595396975207 0.17249404603024796
17 6 8 0.2603692612463516 0.1396307387536484
17 6 9 0.36248178545210996 0.03751821454789006
17 8 11 0.3120987642108853 0.08790123578911474
17 10 11 0.39025378844792596 0.009746211552074058
17 10 12 0.27334553759969454 0.12665446240030548
17 10 13 0.2345209373275526 0.1654790626724474
17 10 14 0.2301884564424702 0.1698115435575298
17 10 15 0.39979133580337756 2.086641966224656E-4
17 10 16 0.26032398737751533 0.1396760126224847
