timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
2 39 40 0.3870006888403079 0.012999311159692106
3 39 40 0.35107244897546924 0.04892755102453078
4 39 40 0.31637652756901097 0.08362347243098905
5 39 40 0.3197249076236098 0.08027509237639024
6 29 42 0.37277725275528006 0.027222747244719958
6 36 42 0.1723389438188062 0.2276610561811938
6 39 40 0.3776544184093057 0.02234558159069433
7 23 30 0.32760984256667663 0.07239015743332339
7 30 36 0.19155972871883678 0.20844027128116324
7 30 42 0.36646294669411017 0.03353705330588985
7 31 37 0.36621805559034387 0.03378194440965615
7 36 42 0.26900877945196583 0.1309912205480342
8 23 30 0.28347216162957023 0.11652783837042979
8 23 36 0.30005865836647416 0.09994134163352586
8 30 36 0.25240705816585873 0.1475929418341413
8 30 37 0.3269099451096162 0.07309005489038384
8 31 37 0.22590520567687875 0.17409479432312128
8 36 42 0.3076238616061833 0.0923761383938167
9 23 30 0.32350641695139365 0.07649358304860637
9 24 31 0.3436893572070527 0.05631064279294734
9 24 37 0.17183551083862855 0.22816448916137147
9 30 36 0.3589252191911816 0.041074780808818434
9 31 37 0.29929461161860516 0.10070538838139487
9 36 42 0.3011222573161429 0.09887774268385713
10 23 30 0.39043830221356973 0.00956169778643029
10 24 31 0.32501851291408007 0.07498148708591995
10 24 37 0.2134412618578584 0.18655873814214163
10 25 31 0.34179598473168493 0.05820401526831509
10 30 36 0.3779669010725575 0.02203309892744254
10 36 42 0.3100747931561358 0.08992520684386424
11 24 31 0.3647200826863747 0.03527991731362534
11 24 37 0.393300602968276 0.006699397031724008
11 25 31 0.23373521690056934 0.16626478309943069
11 36 42 0.3622282915352635 0.03777170846473654
12 25 31 0.3136718226912536 0.08632817730874642
12 33 38 0.361323538114869 0.03867646188513102
12 36 42 0.3982080176863641 0.0017919823136359203
12 38 40 0.3459778635321394 0.05402213646786064
13 23 30 0.3968959355398217 0.003104064460178302
13 28 40 0.304762871712103 0.09523712828789704
13 33 38 0.3020244248313267 0.09797557516867333
13 38 40 0.32901212146542946 0.07098787853457056
14 28 40 0.16274783596693548 0.23725216403306454
14 33 38 0.26067509292780133 0.1393249070721987
14 38 40 0.2871288988221323 0.11287110117786775
15 28 40 0.2782879964881627 0.12171200351183731
15 30 42 0.3666443183595022 0.03335568164049785
15 33 38 0.2632757839047412 0.1367242160952588
15 38 40 0.2378923813281827 0.16210761867181733
16 33 38 0.36635440776249645 0.033645592237503574
16 38 40 0.2753201520818035 0.12467984791819653
17 27 33 0.3049342511609794 0.09506574883902064
17 38 40 0.28704422278780806 0.11295577721219197
31 23 42 0.3972998560116608 0.002700143988339232
32 23 42 0.2640408134925447 0.1359591865074553
33 23 42 0.2980517634555092 0.10194823654449081
