timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
2 25 26 0.39399915041777256 0.006000849582227463
2 28 29 0.39473675638689687 0.005263243613103152
2 34 35 0.399760461397781 2.39538602219036E-4
2 35 36 0.3990982695342408 9.017304657591985E-4
3 25 26 0.38534271939163134 0.014657280608368684
3 28 29 0.3945593953932001 0.005440604606799904
4 24 25 0.39676095137971895 0.003239048620281071
4 25 26 0.39701760389647067 0.00298239610352935
5 24 25 0.38797012392485203 0.012029876075147994
16 38 40 0.394291665998806 0.0057083340011940265
26 28 36 0.37091874122999335 0.029081258770006668
27 28 36 0.3460717644216201 0.053928235578379946
29 27 35 0.39887782548168765 0.0011221745183123688
30 27 35 0.352626864381237 0.047373135618762996
32 25 34 0.3795412283938876 0.020458771606112425
35 32 34 0.38515295984932807 0.014847040150671953
36 32 34 0.3350899976909318 0.06491000230906824
41 29 33 0.387856479491148 0.012143520508852035
